Date,Description,Amount,Category
2025-02-24,Blinkit Grocer-30277,197,Food
2025-02-24,SWIGGYPAY-95319,34,Food
2025-02-24,Cafe Receipt-23299,186,Food
2025-02-24,Blinkit Grocer-60423,145,Food
2025-02-24,SWIGGYPAY-47725,167,Food
2025-02-24,Fuel Station-67605,37,Transport
2025-02-24,Ola Cab-50755,155,Transport
2025-02-24,Fuel Station-95655,117,Transport
2025-02-25,Tuition Payment-79486,717,Education
2025-02-25,Movie Tickets-64487,264,Entertainment
2025-02-25,Blinkit Grocer-56559,199,Food
2025-02-25,Fitness Renewal-20883,419,Health
2025-02-25,Myntra Store-67090,146,Shopping
2025-02-25,Metro Card-8494,87,Transport
2025-02-25,Metro Card-75246,158,Transport
2025-02-25,Uber Ride-12051,53,Transport
2025-02-25,Broadband Bill-57211,45,Utilities
2025-02-26,Exam Books-24587,786,Education
2025-02-26,SWIGGYPAY-31910,31,Food
2025-02-26,SWIGGYPAY-63551,194,Food
2025-02-26,SWIGGYPAY-83049,187,Food
2025-02-26,Cafe Receipt-33508,143,Food
2025-02-26,Cafe Receipt-97370,178,Food
2025-02-26,Blinkit Grocer-29504,57,Food
2025-02-26,Cafe Receipt-31752,162,Food
2025-02-26,Uber Ride-82071,94,Transport
2025-02-26,Fuel Station-95238,174,Transport
2025-02-26,Uber Ride-66472,161,Transport
2025-02-26,Metro Card-83451,83,Transport
2025-02-26,Mobile Bill-48504,79,Utilities
2025-02-27,Tuition Payment-83564,789,Education
2025-02-27,Cafe Receipt-74803,120,Food
2025-02-27,SWIGGYPAY-63967,173,Food
2025-02-27,SWIGGYPAY-83461,98,Food
2025-02-27,Blinkit Grocer-4708,217,Food
2025-02-27,Blinkit Grocer-38298,212,Food
2025-02-27,Cafe Receipt-49100,57,Food
2025-02-27,UPI-ZOMATO-32453,182,Food
2025-02-27,Cafe Receipt-76224,144,Food
2025-02-27,AMAZONINDIA-PAY-81532,354,Shopping
2025-02-27,Mobile Bill-42562,278,Utilities
2025-02-28,Cafe Receipt-10173,202,Food
2025-02-28,SWIGGYPAY-37717,77,Food
2025-02-28,SWIGGYPAY-26460,148,Food
2025-02-28,SWIGGYPAY-59076,127,Food
2025-02-28,UPI-ZOMATO-75718,139,Food
2025-02-28,SWIGGYPAY-98148,80,Food
2025-02-28,UPI-ZOMATO-12860,32,Food
2025-02-28,Ola Cab-35923,109,Transport
2025-02-28,Fuel Station-99285,58,Transport
2025-02-28,Ola Cab-82519,88,Transport
2025-02-28,Water Utility-87436,113,Utilities
2025-03-01,Cafe Receipt-42967,78,Food
2025-03-01,SWIGGYPAY-74627,82,Food
2025-03-01,Cafe Receipt-94021,218,Food
2025-03-01,Salary Credit,71507,Income
2025-03-01,Flipkart Order-79888,270,Shopping
2025-03-01,Myntra Store-91478,502,Shopping
2025-03-02,Cafe Receipt-81641,203,Food
2025-03-02,SWIGGYPAY-98005,100,Food
2025-03-02,UPI-ZOMATO-28107,112,Food
2025-03-02,UPI-ZOMATO-98717,136,Food
2025-03-02,SWIGGYPAY-63048,216,Food
2025-03-02,SWIGGYPAY-38127,181,Food
2025-03-02,UPI-ZOMATO-9942,43,Food
2025-03-02,SWIGGYPAY-14070,170,Food
2025-03-02,Blinkit Grocer-98705,50,Food
2025-03-02,UPI-ZOMATO-30778,250,Food
2025-03-02,Myntra Store-25443,126,Shopping
2025-03-03,Netflix Renewal-70687,258,Entertainment
2025-03-03,SWIGGYPAY-91630,34,Food
2025-03-03,Blinkit Grocer-74643,196,Food
2025-03-03,Cafe Receipt-78084,36,Food
2025-03-03,Cafe Receipt-4229,111,Food
2025-03-03,UPI-ZOMATO-57859,58,Food
2025-03-03,NEFT-HDFC-RENT,18000,Rent
2025-03-03,Flipkart Order-23138,122,Shopping
2025-03-03,Metro Card-14664,91,Transport
2025-03-03,Metro Card-88110,123,Transport
2025-03-03,Ola Cab-96245,134,Transport
2025-03-04,SWIGGYPAY-26023,30,Food
2025-03-04,SWIGGYPAY-80562,214,Food
2025-03-04,UPI-ZOMATO-55924,101,Food
2025-03-04,Blinkit Grocer-94823,210,Food
2025-03-04,Uber Ride-9920,58,Transport
2025-03-04,Uber Ride-80497,25,Transport
2025-03-04,Mobile Bill-1815,309,Utilities
2025-03-04,Electricity Bill-37188,80,Utilities
2025-03-04,Electricity Bill-97307,75,Utilities
2025-03-05,Spotify Subscription-52655,81,Entertainment
2025-03-05,SWIGGYPAY-36938,83,Food
2025-03-05,Blinkit Grocer-29599,105,Food
2025-03-05,UPI-ZOMATO-23904,186,Food
2025-03-05,Blinkit Grocer-24308,158,Food
2025-03-05,SWIGGYPAY-36110,92,Food
2025-03-05,Fuel Station-46862,70,Transport
2025-03-05,Hotel Booking-78776,1631,Travel
2025-03-06,Movie Tickets-33556,272,Entertainment
2025-03-06,SWIGGYPAY-95669,143,Food
2025-03-06,UPI-ZOMATO-31938,44,Food
2025-03-06,SWIGGYPAY-98531,66,Food
2025-03-06,Cafe Receipt-1987,125,Food
2025-03-06,Blinkit Grocer-96449,139,Food
2025-03-06,Metro Card-83171,140,Transport
2025-03-06,Uber Ride-22202,60,Transport
2025-03-06,Metro Card-21079,75,Transport
2025-03-06,Ola Cab-20361,70,Transport
2025-03-06,Fuel Station-21208,107,Transport
2025-03-07,SWIGGYPAY-76281,122,Food
2025-03-07,Blinkit Grocer-66524,175,Food
2025-03-07,SWIGGYPAY-27711,161,Food
2025-03-07,SWIGGYPAY-83735,58,Food
2025-03-07,Cafe Receipt-71873,87,Food
2025-03-07,Cafe Receipt-31533,198,Food
2025-03-07,Cafe Receipt-61808,210,Food
2025-03-07,Cafe Receipt-25344,96,Food
2025-03-07,Flipkart Order-45073,380,Shopping
2025-03-07,Broadband Bill,899,Utilities
2025-03-08,SWIGGYPAY-71376,247,Food
2025-03-08,SWIGGYPAY-80087,250,Food
2025-03-08,SWIGGYPAY-23261,161,Food
2025-03-08,SWIGGYPAY-28338,85,Food
2025-03-08,SWIGGYPAY-54496,50,Food
2025-03-08,UPI-ZOMATO-92840,158,Food
2025-03-08,Blinkit Grocer-4057,96,Food
2025-03-08,Cafe Receipt-7440,205,Food
2025-03-08,Myntra Store-15719,70,Shopping
2025-03-08,Fuel Station-81878,46,Transport
2025-03-08,Metro Card-67960,33,Transport
2025-03-08,Ola Cab-74750,23,Transport
2025-03-08,Metro Card-47032,113,Transport
2025-03-08,Ola Cab-3915,108,Transport
2025-03-09,Online Course-21033,137,Education
2025-03-09,Cafe Receipt-60016,68,Food
2025-03-09,UPI-ZOMATO-18273,188,Food
2025-03-09,UPI-ZOMATO-24964,42,Food
2025-03-09,Cafe Receipt-30067,175,Food
2025-03-09,SWIGGYPAY-47626,183,Food
2025-03-09,UPI-ZOMATO-6505,215,Food
2025-03-09,Blinkit Grocer-31567,208,Food
2025-03-09,Myntra Store-64331,348,Shopping
2025-03-09,Uber Ride-26530,80,Transport
2025-03-10,Cafe Receipt-65375,133,Food
2025-03-10,Cafe Receipt-65817,71,Food
2025-03-10,UPI-ZOMATO-18722,94,Food
2025-03-10,UPI-ZOMATO-82794,119,Food
2025-03-10,UPI-ZOMATO-86341,200,Food
2025-03-10,Cafe Receipt-22445,124,Food
2025-03-10,Flipkart Order-55091,454,Shopping
2025-03-11,Movie Tickets-11317,141,Entertainment
2025-03-11,Cafe Receipt-58659,111,Food
2025-03-11,SWIGGYPAY-27185,180,Food
2025-03-11,Ola Cab-41856,74,Transport
2025-03-11,Metro Card-11444,113,Transport
2025-03-11,Fuel Station-72285,178,Transport
2025-03-12,Netflix Renewal,649,Entertainment
2025-03-12,UPI-ZOMATO-18761,63,Food
2025-03-12,SWIGGYPAY-7254,31,Food
2025-03-12,Cafe Receipt-51835,178,Food
2025-03-12,UPI-ZOMATO-52846,161,Food
2025-03-12,Blinkit Grocer-16462,153,Food
2025-03-12,Blinkit Grocer-62911,34,Food
2025-03-12,Myntra Store-20448,119,Shopping
2025-03-12,Myntra Store-24096,457,Shopping
2025-03-12,Flipkart Order-96322,364,Shopping
2025-03-12,Hotel Booking-43707,697,Travel
2025-03-13,UPI-ZOMATO-58832,74,Food
2025-03-13,Blinkit Grocer-29298,169,Food
2025-03-13,UPI-ZOMATO-66387,216,Food
2025-03-13,Cafe Receipt-15045,198,Food
2025-03-13,Fitness Renewal-5786,334,Health
2025-03-13,Flipkart Order-18978,106,Shopping
2025-03-13,Fuel Station-61201,64,Transport
2025-03-13,Uber Ride-97316,42,Transport
2025-03-13,Metro Card-75801,102,Transport
2025-03-14,Cafe Receipt-14187,174,Food
2025-03-14,Blinkit Grocer-50408,64,Food
2025-03-14,UPI-ZOMATO-62981,47,Food
2025-03-14,SWIGGYPAY-17580,85,Food
2025-03-14,Blinkit Grocer-62118,184,Food
2025-03-14,Fuel Station-14028,84,Transport
2025-03-14,Uber Ride-4108,174,Transport
2025-03-15,Netflix Renewal-27099,222,Entertainment
2025-03-15,Blinkit Grocer-94839,167,Food
2025-03-15,SWIGGYPAY-96019,171,Food
2025-03-15,Blinkit Grocer-10658,113,Food
2025-03-15,SWIGGYPAY-31329,45,Food
2025-03-15,Cafe Receipt-21900,216,Food
2025-03-15,Fuel Station-23967,159,Transport
2025-03-15,Metro Card-6205,82,Transport
2025-03-16,UPI-ZOMATO-80815,130,Food
2025-03-16,Cafe Receipt-48256,217,Food
2025-03-16,Cafe Receipt-12783,55,Food
2025-03-16,Fuel Station-5557,156,Transport
2025-03-16,Broadband Bill-7618,44,Utilities
2025-03-16,Electricity Bill-5352,100,Utilities
2025-03-16,Electricity Bill-20589,152,Utilities
2025-03-17,Exam Books-86167,208,Education
2025-03-17,UPI-ZOMATO-30399,53,Food
2025-03-17,SWIGGYPAY-20150,207,Food
2025-03-17,Blinkit Grocer-39022,138,Food
2025-03-17,Blinkit Grocer-27916,200,Food
2025-03-17,Cafe Receipt-61593,64,Food
2025-03-17,Pharmacy Purchase-6933,559,Health
2025-03-17,Metro Card-66729,150,Transport
2025-03-17,Mobile Bill-82450,288,Utilities
2025-03-18,Blinkit Grocer-76352,72,Food
2025-03-18,UPI-ZOMATO-75618,150,Food
2025-03-18,Cafe Receipt-22459,57,Food
2025-03-18,Blinkit Grocer-44628,199,Food
2025-03-18,Uber Ride-28420,90,Transport
2025-03-18,Ola Cab-67280,132,Transport
2025-03-18,Metro Card-99808,67,Transport
2025-03-18,Mobile Bill-73906,298,Utilities
2025-03-18,Broadband Bill-28644,240,Utilities
2025-03-19,Blinkit Grocer-27464,129,Food
2025-03-19,Cafe Receipt-11647,148,Food
2025-03-19,UPI-ZOMATO-94609,188,Food
2025-03-19,Cafe Receipt-25160,182,Food
2025-03-19,Clinic Visit-2498,594,Health
2025-03-19,Flipkart Order-27497,148,Shopping
2025-03-19,AMAZONINDIA-PAY-97690,229,Shopping
2025-03-19,Ola Cab-5895,163,Transport
2025-03-19,Fuel Station-26440,143,Transport
2025-03-19,Uber Ride-74683,152,Transport
2025-03-19,Mobile Bill-13448,272,Utilities
2025-03-19,Electricity Bill-39067,185,Utilities
2025-03-20,Cafe Receipt-20001,208,Food
2025-03-20,Fuel Station-27768,137,Transport
2025-03-21,Online Course-52036,400,Education
2025-03-21,UPI-ZOMATO-49434,75,Food
2025-03-21,SWIGGYPAY-2887,115,Food
2025-03-21,Cafe Receipt-64479,136,Food
2025-03-21,Cafe Receipt-49808,207,Food
2025-03-21,AMAZONINDIA-PAY-10335,117,Shopping
2025-03-21,Metro Card-64522,40,Transport
2025-03-21,Rail Ticket-22615,715,Travel
2025-03-22,Blinkit Grocer-28447,133,Food
2025-03-22,UPI-ZOMATO-86727,178,Food
2025-03-22,UPI-ZOMATO-73801,117,Food
2025-03-22,Blinkit Grocer-25383,270,Food
2025-03-22,Fitness Renewal-83208,686,Health
2025-03-22,Myntra Store-33596,563,Shopping
2025-03-23,Blinkit Grocer-21283,257,Food
2025-03-23,SWIGGYPAY-94528,132,Food
2025-03-23,UPI-ZOMATO-41120,205,Food
2025-03-23,Blinkit Grocer-42137,56,Food
2025-03-23,AMAZONINDIA-PAY-42859,133,Shopping
2025-03-23,AMAZONINDIA-PAY-72160,495,Shopping
2025-03-24,Blinkit Grocer-3960,189,Food
2025-03-24,UPI-ZOMATO-79064,171,Food
2025-03-24,Uber Ride-83669,86,Transport
2025-03-24,Fuel Station-8043,76,Transport
2025-03-24,Uber Ride-13903,39,Transport
2025-03-24,Uber Ride-11432,73,Transport
2025-03-25,Movie Tickets-27584,121,Entertainment
2025-03-25,Blinkit Grocer-23686,71,Food
2025-03-25,SWIGGYPAY-22002,209,Food
2025-03-25,SWIGGYPAY-46179,208,Food
2025-03-25,Blinkit Grocer-70012,192,Food
2025-03-25,Ola Cab-28589,52,Transport
2025-03-25,Metro Card-56437,36,Transport
2025-03-25,Ola Cab-38959,165,Transport
2025-03-26,Cafe Receipt-85767,41,Food
2025-03-26,UPI-ZOMATO-83625,77,Food
2025-03-26,SWIGGYPAY-90245,139,Food
2025-03-26,Blinkit Grocer-28302,105,Food
2025-03-26,UPI-ZOMATO-74136,87,Food
2025-03-26,Blinkit Grocer-27802,209,Food
2025-03-26,Blinkit Grocer-46595,79,Food
2025-03-26,UPI-ZOMATO-79971,56,Food
2025-03-26,AMAZONINDIA-PAY-65035,143,Shopping
2025-03-26,Metro Card-41090,80,Transport
2025-03-26,Metro Card-23769,168,Transport
2025-03-27,Netflix Renewal-91775,92,Entertainment
2025-03-27,Spotify Subscription-56656,159,Entertainment
2025-03-27,Cafe Receipt-65063,211,Food
2025-03-27,SWIGGYPAY-47411,94,Food
2025-03-27,Cafe Receipt-19601,203,Food
2025-03-27,UPI-ZOMATO-6299,140,Food
2025-03-27,Cafe Receipt-84526,169,Food
2025-03-27,Uber Ride-19204,121,Transport
2025-03-27,Ola Cab-25479,142,Transport
2025-03-27,Broadband Bill-95726,43,Utilities
2025-03-28,SWIGGYPAY-53526,138,Food
2025-03-28,SWIGGYPAY-8964,86,Food
2025-03-28,SWIGGYPAY-5249,169,Food
2025-03-28,Cafe Receipt-1302,53,Food
2025-03-28,UPI-ZOMATO-23385,94,Food
2025-03-28,UPI-ZOMATO-24585,209,Food
2025-03-28,Flipkart Order-5199,52,Shopping
2025-03-28,Myntra Store-75776,183,Shopping
2025-03-28,Myntra Store-81220,328,Shopping
2025-03-28,Uber Ride-2855,111,Transport
2025-03-28,Metro Card-69782,120,Transport
2025-03-28,Flight Fare-84606,352,Travel
2025-03-29,Netflix Renewal-32203,103,Entertainment
2025-03-29,Movie Tickets-88808,257,Entertainment
2025-03-29,SWIGGYPAY-85382,125,Food
2025-03-29,Cafe Receipt-9607,48,Food
2025-03-29,Cafe Receipt-82159,241,Food
2025-03-29,SWIGGYPAY-54447,110,Food
2025-03-29,Flipkart Order-40280,433,Shopping
2025-03-29,Ola Cab-88608,108,Transport
2025-03-29,Metro Card-31075,42,Transport
2025-03-30,Spotify Subscription-60875,166,Entertainment
2025-03-30,SWIGGYPAY-54908,82,Food
2025-03-30,Cafe Receipt-65760,53,Food
2025-03-30,Cafe Receipt-15612,52,Food
2025-03-30,Blinkit Grocer-11612,193,Food
2025-03-30,Metro Card-86386,158,Transport
2025-03-30,Ola Cab-6171,38,Transport
2025-03-30,Uber Ride-11384,28,Transport
2025-03-31,Cafe Receipt-47073,213,Food
2025-03-31,Blinkit Grocer-13529,96,Food
2025-03-31,Blinkit Grocer-19598,148,Food
2025-03-31,Blinkit Grocer-37862,113,Food
2025-03-31,SWIGGYPAY-79963,97,Food
2025-03-31,UPI-ZOMATO-11930,69,Food
2025-03-31,Uber Ride-17434,26,Transport
2025-03-31,Metro Card-25369,30,Transport
2025-03-31,Uber Ride-20062,54,Transport
2025-03-31,Metro Card-75328,87,Transport
2025-03-31,Uber Ride-47561,104,Transport
2025-04-01,Cafe Receipt-95141,109,Food
2025-04-01,SWIGGYPAY-39372,75,Food
2025-04-01,Cafe Receipt-65500,170,Food
2025-04-01,Cafe Receipt-58292,51,Food
2025-04-01,UPI-ZOMATO-41265,183,Food
2025-04-01,Cafe Receipt-49313,44,Food
2025-04-01,Salary Credit,70397,Income
2025-04-01,Ola Cab-96823,80,Transport
2025-04-01,Ola Cab-40756,158,Transport
2025-04-01,Fuel Station-2426,180,Transport
2025-04-01,Mobile Bill-67570,212,Utilities
2025-04-01,Electricity Bill-59663,148,Utilities
2025-04-02,Tuition Payment-74313,708,Education
2025-04-02,UPI-ZOMATO-19164,139,Food
2025-04-02,Cafe Receipt-21355,107,Food
2025-04-02,SWIGGYPAY-68466,76,Food
2025-04-02,Blinkit Grocer-26593,120,Food
2025-04-02,Cafe Receipt-54474,162,Food
2025-04-02,UPI-ZOMATO-57881,142,Food
2025-04-02,Metro Card-67849,145,Transport
2025-04-02,Metro Card-30279,63,Transport
2025-04-02,Mobile Bill-17068,43,Utilities
2025-04-02,Broadband Bill-14899,216,Utilities
2025-04-03,Netflix Renewal-5017,206,Entertainment
2025-04-03,Cafe Receipt-10100,76,Food
2025-04-03,SWIGGYPAY-76840,105,Food
2025-04-03,UPI-ZOMATO-93055,142,Food
2025-04-03,SWIGGYPAY-28505,136,Food
2025-04-03,UPI-ZOMATO-71214,133,Food
2025-04-03,NEFT-HDFC-RENT,18000,Rent
2025-04-03,Ola Cab-62620,156,Transport
2025-04-03,Metro Card-4849,173,Transport
2025-04-04,Tuition Payment-10646,676,Education
2025-04-04,Blinkit Grocer-60840,157,Food
2025-04-04,Blinkit Grocer-35642,34,Food
2025-04-04,SWIGGYPAY-15641,118,Food
2025-04-04,UPI-ZOMATO-43036,100,Food
2025-04-04,Blinkit Grocer-47526,157,Food
2025-04-04,Metro Card-45468,39,Transport
2025-04-04,Metro Card-21633,127,Transport
2025-04-05,UPI-ZOMATO-25018,226,Food
2025-04-05,Blinkit Grocer-74224,85,Food
2025-04-05,SWIGGYPAY-44720,183,Food
2025-04-05,AMAZONINDIA-PAY-6686,453,Shopping
2025-04-05,AMAZONINDIA-PAY-14784,501,Shopping
2025-04-05,Fuel Station-38743,147,Transport
2025-04-05,Water Utility-18986,196,Utilities
2025-04-05,Electricity Bill-10285,127,Utilities
2025-04-06,Online Course-17150,137,Education
2025-04-06,UPI-ZOMATO-42381,260,Food
2025-04-06,Blinkit Grocer-71533,111,Food
2025-04-06,SWIGGYPAY-20474,116,Food
2025-04-06,SWIGGYPAY-18375,212,Food
2025-04-06,SWIGGYPAY-9559,143,Food
2025-04-06,Uber Ride-46967,126,Transport
2025-04-06,Fuel Station-33340,119,Transport
2025-04-06,Fuel Station-28243,126,Transport
2025-04-07,UPI-ZOMATO-62283,90,Food
2025-04-07,SWIGGYPAY-33222,213,Food
2025-04-07,UPI-ZOMATO-21423,191,Food
2025-04-07,SWIGGYPAY-60590,214,Food
2025-04-07,UPI-ZOMATO-3571,196,Food
2025-04-07,Broadband Bill,899,Utilities
2025-04-08,Blinkit Grocer-2167,122,Food
2025-04-08,Cafe Receipt-7239,40,Food
2025-04-08,Pharmacy Purchase-99483,600,Health
2025-04-08,Clinic Visit-35888,496,Health
2025-04-08,Metro Card-33793,140,Transport
2025-04-08,Metro Card-32760,127,Transport
2025-04-08,Ola Cab-52662,95,Transport
2025-04-09,Movie Tickets-21400,53,Entertainment
2025-04-09,Cafe Receipt-92870,84,Food
2025-04-09,SWIGGYPAY-38527,183,Food
2025-04-09,SWIGGYPAY-26717,170,Food
2025-04-09,UPI-ZOMATO-50173,169,Food
2025-04-09,SWIGGYPAY-42790,137,Food
2025-04-09,Blinkit Grocer-59190,215,Food
2025-04-09,Fuel Station-16555,127,Transport
2025-04-09,Fuel Station-16098,27,Transport
2025-04-10,Blinkit Grocer-60028,208,Food
2025-04-10,SWIGGYPAY-38153,35,Food
2025-04-10,Cafe Receipt-60493,51,Food
2025-04-10,SWIGGYPAY-43991,197,Food
2025-04-10,UPI-ZOMATO-18975,145,Food
2025-04-10,Blinkit Grocer-31919,72,Food
2025-04-11,Exam Books-71382,683,Education
2025-04-11,Netflix Renewal-81379,312,Entertainment
2025-04-11,Cafe Receipt-53881,154,Food
2025-04-11,Metro Card-38353,62,Transport
2025-04-11,Fuel Station-85567,55,Transport
2025-04-11,Ola Cab-3539,22,Transport
2025-04-11,Water Utility-60003,53,Utilities
2025-04-12,Netflix Renewal,649,Entertainment
2025-04-12,Netflix Renewal-16893,284,Entertainment
2025-04-12,Blinkit Grocer-1276,113,Food
2025-04-12,Cafe Receipt-11084,260,Food
2025-04-12,UPI-ZOMATO-86658,92,Food
2025-04-12,AMAZONINDIA-PAY-47893,528,Shopping
2025-04-12,Metro Card-45201,162,Transport
2025-04-12,Electricity Bill-85631,111,Utilities
2025-04-13,SWIGGYPAY-27422,248,Food
2025-04-13,Blinkit Grocer-9675,218,Food
2025-04-13,Blinkit Grocer-54825,188,Food
2025-04-13,UPI-ZOMATO-13906,102,Food
2025-04-13,Cafe Receipt-34622,125,Food
2025-04-13,Cafe Receipt-85541,205,Food
2025-04-13,Myntra Store-99939,313,Shopping
2025-04-13,Uber Ride-93756,32,Transport
2025-04-13,Metro Card-86583,100,Transport
2025-04-13,Ola Cab-6896,56,Transport
2025-04-14,UPI-ZOMATO-69975,102,Food
2025-04-14,UPI-ZOMATO-97360,101,Food
2025-04-14,Cafe Receipt-93685,156,Food
2025-04-14,Cafe Receipt-31045,175,Food
2025-04-14,Cafe Receipt-41424,183,Food
2025-04-14,Cafe Receipt-90491,123,Food
2025-04-14,Pharmacy Purchase-86100,66,Health
2025-04-14,Metro Card-29787,141,Transport
2025-04-14,Metro Card-37524,26,Transport
2025-04-14,Uber Ride-92096,32,Transport
2025-04-14,Electricity Bill-1766,333,Utilities
2025-04-15,Netflix Renewal-71045,185,Entertainment
2025-04-15,SWIGGYPAY-88115,74,Food
2025-04-15,UPI-ZOMATO-18868,195,Food
2025-04-15,UPI-ZOMATO-3958,207,Food
2025-04-15,Ola Cab-87484,144,Transport
2025-04-16,Tuition Payment-11039,222,Education
2025-04-16,Blinkit Grocer-42805,193,Food
2025-04-16,UPI-ZOMATO-21519,126,Food
2025-04-16,Metro Card-38437,147,Transport
2025-04-16,Metro Card-6019,107,Transport
2025-04-16,Rail Ticket-40979,567,Travel
2025-04-17,SWIGGYPAY-49970,49,Food
2025-04-17,UPI-ZOMATO-39604,211,Food
2025-04-17,Blinkit Grocer-94027,47,Food
2025-04-17,UPI-ZOMATO-45174,78,Food
2025-04-17,Flipkart Order-33039,434,Shopping
2025-04-17,Metro Card-88937,160,Transport
2025-04-17,Ola Cab-29277,32,Transport
2025-04-17,Uber Ride-17535,125,Transport
2025-04-18,Movie Tickets-50577,94,Entertainment
2025-04-18,Cafe Receipt-1239,121,Food
2025-04-18,Cafe Receipt-68589,90,Food
2025-04-18,Cafe Receipt-67749,58,Food
2025-04-18,UPI-ZOMATO-32118,123,Food
2025-04-18,SWIGGYPAY-3231,147,Food
2025-04-18,Uber Ride-97235,104,Transport
2025-04-18,Flight Fare-40615,618,Travel
2025-04-18,Mobile Bill-28854,81,Utilities
2025-04-18,Mobile Bill-7364,178,Utilities
2025-04-19,Exam Books-2684,590,Education
2025-04-19,Cafe Receipt-21088,112,Food
2025-04-19,UPI-ZOMATO-33655,83,Food
2025-04-19,Cafe Receipt-12385,82,Food
2025-04-19,Blinkit Grocer-34635,126,Food
2025-04-19,Blinkit Grocer-82666,216,Food
2025-04-19,SWIGGYPAY-73790,77,Food
2025-04-19,Blinkit Grocer-78587,110,Food
2025-04-19,Uber Ride-84826,154,Transport
2025-04-19,Metro Card-66279,113,Transport
2025-04-19,Water Utility-74764,75,Utilities
2025-04-20,Movie Tickets-15444,212,Entertainment
2025-04-20,SWIGGYPAY-81133,80,Food
2025-04-20,SWIGGYPAY-98451,42,Food
2025-04-20,Cafe Receipt-36539,127,Food
2025-04-20,SWIGGYPAY-22385,150,Food
2025-04-20,UPI-ZOMATO-82032,140,Food
2025-04-20,UPI-ZOMATO-59735,130,Food
2025-04-20,Cafe Receipt-65159,197,Food
2025-04-20,AMAZONINDIA-PAY-81419,162,Shopping
2025-04-20,Ola Cab-32058,120,Transport
2025-04-20,Uber Ride-78213,75,Transport
2025-04-20,Uber Ride-38162,109,Transport
2025-04-20,Metro Card-98865,114,Transport
2025-04-21,SWIGGYPAY-22284,153,Food
2025-04-21,Cafe Receipt-44326,63,Food
2025-04-21,UPI-ZOMATO-10734,128,Food
2025-04-21,Blinkit Grocer-42942,83,Food
2025-04-21,AMAZONINDIA-PAY-38831,131,Shopping
2025-04-22,Blinkit Grocer-19359,34,Food
2025-04-22,UPI-ZOMATO-78351,122,Food
2025-04-22,UPI-ZOMATO-95182,172,Food
2025-04-22,UPI-ZOMATO-29368,110,Food
2025-04-22,Blinkit Grocer-77755,180,Food
2025-04-22,Flipkart Order-51407,110,Shopping
2025-04-22,Metro Card-30321,94,Transport
2025-04-22,Fuel Station-27909,129,Transport
2025-04-22,Uber Ride-96223,122,Transport
2025-04-22,Ola Cab-89731,166,Transport
2025-04-23,Cafe Receipt-17452,204,Food
2025-04-23,UPI-ZOMATO-15899,177,Food
2025-04-23,UPI-ZOMATO-88500,82,Food
2025-04-23,Blinkit Grocer-44199,198,Food
2025-04-23,UPI-ZOMATO-98013,160,Food
2025-04-23,AMAZONINDIA-PAY-21163,247,Shopping
2025-04-23,AMAZONINDIA-PAY-69899,390,Shopping
2025-04-23,Metro Card-81241,20,Transport
2025-04-23,Metro Card-49784,160,Transport
2025-04-23,Uber Ride-11095,134,Transport
2025-04-23,Uber Ride-84818,160,Transport
2025-04-24,Spotify Subscription-65368,228,Entertainment
2025-04-24,Blinkit Grocer-76189,150,Food
2025-04-24,UPI-ZOMATO-92364,58,Food
2025-04-24,SWIGGYPAY-80903,162,Food
2025-04-24,UPI-ZOMATO-49336,205,Food
2025-04-24,Blinkit Grocer-81875,29,Food
2025-04-24,UPI-ZOMATO-58701,86,Food
2025-04-24,Blinkit Grocer-17830,30,Food
2025-04-24,SWIGGYPAY-63710,171,Food
2025-04-24,Fuel Station-97183,135,Transport
2025-04-24,Fuel Station-85552,54,Transport
2025-04-24,Uber Ride-95623,141,Transport
2025-04-25,Tuition Payment-12087,682,Education
2025-04-25,SWIGGYPAY-89269,146,Food
2025-04-25,Blinkit Grocer-33594,203,Food
2025-04-25,Blinkit Grocer-66848,159,Food
2025-04-25,SWIGGYPAY-93657,83,Food
2025-04-25,SWIGGYPAY-28937,125,Food
2025-04-25,Blinkit Grocer-4800,70,Food
2025-04-25,UPI-ZOMATO-29157,184,Food
2025-04-25,Flipkart Order-85724,377,Shopping
2025-04-25,Ola Cab-27737,115,Transport
2025-04-25,Metro Card-51519,151,Transport
2025-04-25,Mobile Bill-11197,68,Utilities
2025-04-25,Electricity Bill-5332,45,Utilities
2025-04-26,Exam Books-91561,735,Education
2025-04-26,Blinkit Grocer-68867,247,Food
2025-04-26,Blinkit Grocer-37855,128,Food
2025-04-26,UPI-ZOMATO-96788,78,Food
2025-04-26,SWIGGYPAY-90147,53,Food
2025-04-26,Blinkit Grocer-12368,171,Food
2025-04-26,Uber Ride-13721,37,Transport
2025-04-26,Ola Cab-10413,74,Transport
2025-04-27,Exam Books-33500,689,Education
2025-04-27,Netflix Renewal-54291,175,Entertainment
2025-04-27,SWIGGYPAY-99832,202,Food
2025-04-27,Metro Card-12969,163,Transport
2025-04-27,Uber Ride-2212,20,Transport
2025-04-27,Metro Card-67795,42,Transport
2025-04-27,Ola Cab-90463,138,Transport
2025-04-28,Tuition Payment-65218,586,Education
2025-04-28,Cafe Receipt-47723,66,Food
2025-04-28,UPI-ZOMATO-95621,113,Food
2025-04-28,UPI-ZOMATO-83599,203,Food
2025-04-28,UPI-ZOMATO-34067,148,Food
2025-04-28,SWIGGYPAY-67143,79,Food
2025-04-28,UPI-ZOMATO-98801,57,Food
